				Closure 1							Closure 2
theta12         theta13         theta14         theta15         s16             theta13         theta14         theta15         s16            
__________________________________________________________________________________________________________________________________________
59.000		2.0108		0.6676		1.5160		525.2201	-2.9670		-1.5178		1.4247		133.3615
60.000		2.0086		0.6750		1.5141		526.1167	-2.9643		-1.5109		1.4268		134.0382
61.000		2.0064		0.6823		1.5122		526.9908	-2.9617		-1.5040		1.4289		134.7314
62.000		2.0041		0.6895		1.5104		527.8424	-2.9592		-1.4970		1.4310		135.4413
63.000		2.0018		0.6967		1.5085		528.6715	-2.9568		-1.4899		1.4331		136.1682
64.000		1.9994		0.7037		1.5067		529.4780	-2.9546		-1.4827		1.4353		136.9125
65.000		1.9969		0.7107		1.5049		530.2621	-2.9525		-1.4754		1.4374		137.6744
66.000		1.9944		0.7175		1.5031		531.0237	-2.9506		-1.4679		1.4396		138.4544
67.000		1.9918		0.7243		1.5014		531.7631	-2.9487		-1.4604		1.4419		139.2525
68.000		1.9892		0.7309		1.4996		532.4802	-2.9471		-1.4528		1.4441		140.0693
69.000		1.9864		0.7375		1.4979		533.1751	-2.9455		-1.4451		1.4464		140.9048
70.000		1.9836		0.7439		1.4962		533.8481	-2.9441		-1.4372		1.4487		141.7596
71.000		1.9808		0.7502		1.4945		534.4991	-2.9429		-1.4293		1.4510		142.6338
72.000		1.9778		0.7564		1.4928		535.1284	-2.9418		-1.4213		1.4533		143.5277
73.000		1.9748		0.7625		1.4912		535.7362	-2.9409		-1.4131		1.4557		144.4417
74.000		1.9718		0.7684		1.4896		536.3224	-2.9401		-1.4049		1.4581		145.3759
75.000		1.9686		0.7742		1.4880		536.8874	-2.9395		-1.3965		1.4605		146.3307
76.000		1.9654		0.7799		1.4865		537.4314	-2.9390		-1.3881		1.4629		147.3063
77.000		1.9621		0.7855		1.4850		537.9544	-2.9387		-1.3795		1.4653		148.3030
78.000		1.9587		0.7909		1.4835		538.4568	-2.9385		-1.3709		1.4678		149.3210
79.000		1.9553		0.7961		1.4820		538.9387	-2.9386		-1.3622		1.4702		150.3605
80.000		1.9517		0.8012		1.4806		539.4003	-2.9387		-1.3533		1.4727		151.4217
81.000		1.9481		0.8062		1.4793		539.8419	-2.9391		-1.3444		1.4752		152.5049
82.000		1.9444		0.8110		1.4779		540.2637	-2.9396		-1.3354		1.4777		153.6101
83.000		1.9406		0.8157		1.4766		540.6658	-2.9403		-1.3262		1.4802		154.7376
84.000		1.9368		0.8201		1.4754		541.0486	-2.9412		-1.3170		1.4828		155.8875
85.000		1.9329		0.8245		1.4742		541.4122	-2.9423		-1.3077		1.4853		157.0599
86.000		1.9288		0.8286		1.4730		541.7568	-2.9435		-1.2983		1.4879		158.2549
87.000		1.9247		0.8326		1.4719		542.0828	-2.9449		-1.2888		1.4905		159.4725
88.000		1.9205		0.8364		1.4708		542.3902	-2.9465		-1.2793		1.4930		160.7127
89.000		1.9162		0.8400		1.4698		542.6793	-2.9482		-1.2696		1.4956		161.9757
90.000		1.9119		0.8434		1.4689		542.9503	-2.9502		-1.2599		1.4982		163.2612
91.000		1.9074		0.8467		1.4679		543.2033	-2.9523		-1.2501		1.5008		164.5693
92.000		1.9029		0.8497		1.4671		543.4385	-2.9546		-1.2402		1.5034		165.8998
93.000		1.8982		0.8525		1.4663		543.6562	-2.9571		-1.2302		1.5060		167.2526
94.000		1.8935		0.8552		1.4655		543.8564	-2.9597		-1.2202		1.5086		168.6275
95.000		1.8887		0.8576		1.4648		544.0392	-2.9626		-1.2101		1.5112		170.0242
96.000		1.8838		0.8598		1.4642		544.2048	-2.9656		-1.1999		1.5137		171.4425
97.000		1.8788		0.8618		1.4636		544.3532	-2.9688		-1.1897		1.5163		172.8819
98.000		1.8737		0.8636		1.4631		544.4845	-2.9722		-1.1794		1.5189		174.3422
99.000		1.8685		0.8652		1.4627		544.5988	-2.9758		-1.1691		1.5215		175.8229
100.000		1.8632		0.8665		1.4623		544.6960	-2.9795		-1.1587		1.5240		177.3234
101.000		1.8578		0.8676		1.4620		544.7761	-2.9835		-1.1483		1.5266		178.8432
102.000		1.8523		0.8685		1.4617		544.8390	-2.9876		-1.1379		1.5291		180.3817
103.000		1.8468		0.8691		1.4616		544.8848	-2.9918		-1.1274		1.5316		181.9381
104.000		1.8411		0.8695		1.4614		544.9132	-2.9963		-1.1169		1.5342		183.5118
105.000		1.8353		0.8697		1.4614		544.9240	-3.0009		-1.1064		1.5366		185.1019
106.000		1.8295		0.8696		1.4614		544.9172	-3.0057		-1.0958		1.5391		186.7076
107.000		1.8235		0.8692		1.4615		544.8925	-3.0106		-1.0853		1.5415		188.3279
108.000		1.8175		0.8686		1.4617		544.8496	-3.0157		-1.0747		1.5440		189.9617
109.000		1.8114		0.8678		1.4619		544.7882	-3.0210		-1.0642		1.5464		191.6080
110.000		1.8051		0.8667		1.4623		544.7080	-3.0264		-1.0536		1.5487		193.2656
111.000		1.7988		0.8653		1.4626		544.6085	-3.0320		-1.0431		1.5511		194.9334
